"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 08 21:42:01 IST 2020","Sun Nov 08 21:42:07 IST 2020","5554","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Wheels and select ""wheel type""","When I select Wheels and select ""wheel type""",""
"passed","Sun Nov 08 21:41:36 IST 2020","Sun Nov 08 21:41:47 IST 2020","10335","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select a ""Mild hybrids"" ""V60"" car model","When I select a ""Mild hybrids"" ""V60"" car model",""
"passed","Sun Nov 08 21:40:52 IST 2020","Sun Nov 08 21:40:58 IST 2020","5235","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Exterior styling and click on Continue to Packages","When I select Exterior styling and click on Continue to Packages",""
"passed","Sun Nov 08 21:40:38 IST 2020","Sun Nov 08 21:40:41 IST 2020","2881","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""B3 mild hybrid"" Momemtum car style","When I select ""B3 mild hybrid"" Momemtum car style",""
"passed","Sun Nov 08 21:40:23 IST 2020","Sun Nov 08 21:40:23 IST 2020","155","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""Cars"" section should fly out","Then ""Cars"" section should fly out",""
"passed","Sun Nov 08 21:52:02 IST 2020","Sun Nov 08 21:52:03 IST 2020","368","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""side navigator"" section should fly out","Then ""side navigator"" section should fly out",""
"skipped","Sun Nov 08 21:50:56 IST 2020","Sun Nov 08 21:50:56 IST 2020","0","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Packages as Power Seats","When I select Packages as Power Seats",""
"passed","Sun Nov 08 21:40:24 IST 2020","Sun Nov 08 21:40:24 IST 2020","1","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Hook","Hook",""
"passed","Sun Nov 08 21:42:18 IST 2020","Sun Nov 08 21:42:24 IST 2020","5980","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Packages as Power Seats","When I select Packages as Power Seats",""
"passed","Sun Nov 08 21:41:35 IST 2020","Sun Nov 08 21:41:36 IST 2020","1360","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Mild hybrids"" car type","When I click on ""Mild hybrids"" car type",""
"passed","Sun Nov 08 21:41:55 IST 2020","Sun Nov 08 21:41:58 IST 2020","3433","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Momentum"" car style","When I select ""Momentum"" car style",""
"passed","Sun Nov 08 21:40:22 IST 2020","Sun Nov 08 21:40:22 IST 2020","397","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I see the header Cars and side navigator","When I see the header Cars and side navigator",""
"passed","Sun Nov 08 21:51:59 IST 2020","Sun Nov 08 21:52:01 IST 2020","1722","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:49:27 IST 2020","Sun Nov 08 21:49:59 IST 2020","32279","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:50:49 IST 2020","Sun Nov 08 21:50:53 IST 2020","3976","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""B3 mild hybrid"" Momemtum car style","When I select ""B3 mild hybrid"" Momemtum car style",""
"passed","Sun Nov 08 21:43:30 IST 2020","Sun Nov 08 21:43:36 IST 2020","5351","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select a ""Mild hybrids"" ""V60"" car model","When I select a ""Mild hybrids"" ""V60"" car model",""
"passed","Sun Nov 08 21:43:29 IST 2020","Sun Nov 08 21:43:30 IST 2020","1369","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Mild hybrids"" car type","When I click on ""Mild hybrids"" car type",""
"passed","Sun Nov 08 21:52:03 IST 2020","Sun Nov 08 21:52:15 IST 2020","11671","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select a ""Mild hybrids"" ""V60"" car model","When I select a ""Mild hybrids"" ""V60"" car model",""
"passed","Sun Nov 08 21:41:33 IST 2020","Sun Nov 08 21:41:35 IST 2020","2415","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:43:33 IST 2020","Sun Nov 08 21:43:34 IST 2020","893","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""Cars"" section should fly out","Then ""Cars"" section should fly out",""
"passed","Sun Nov 08 21:40:28 IST 2020","Sun Nov 08 21:40:35 IST 2020","7118","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Shop"" to buy car","When I select ""Shop"" to buy car",""
"passed","Sun Nov 08 21:52:03 IST 2020","Sun Nov 08 21:52:03 IST 2020","2","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Hook","Hook",""
"skipped","Sun Nov 08 21:50:56 IST 2020","Sun Nov 08 21:50:56 IST 2020","0","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Interior and select ""interior stlye""","When I select Interior and select ""interior stlye""",""
"passed","Sun Nov 08 21:49:59 IST 2020","Sun Nov 08 21:50:00 IST 2020","1266","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:50:01 IST 2020","Sun Nov 08 21:50:02 IST 2020","1118","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""side navigator""","When I click on ""side navigator""",""
"passed","Sun Nov 08 21:52:37 IST 2020","Sun Nov 08 21:52:42 IST 2020","5270","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Exterior styling and click on Continue to Packages","When I select Exterior styling and click on Continue to Packages",""
"passed","Sun Nov 08 21:44:43 IST 2020","Sun Nov 08 21:44:48 IST 2020","4801","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Then I click on Summary","Then I click on Summary",""
"skipped","Sun Nov 08 21:50:56 IST 2020","Sun Nov 08 21:50:56 IST 2020","1","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Exterior styling and click on Continue to Packages","When I select Exterior styling and click on Continue to Packages",""
"passed","Sun Nov 08 21:52:32 IST 2020","Sun Nov 08 21:52:37 IST 2020","4934","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Interior and select ""interior stlye""","When I select Interior and select ""interior stlye""",""
"passed","Sun Nov 08 21:40:58 IST 2020","Sun Nov 08 21:41:03 IST 2020","5074","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Packages as Power Seats","When I select Packages as Power Seats",""
"passed","Sun Nov 08 21:40:18 IST 2020","Sun Nov 08 21:40:21 IST 2020","2302","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:52:53 IST 2020","Sun Nov 08 21:52:53 IST 2020","1","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Hook","Hook",""
"passed","Sun Nov 08 21:40:21 IST 2020","Sun Nov 08 21:40:28 IST 2020","6821","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select a ""Mild hybrids"" ""V60"" car model","When I select a ""Mild hybrids"" ""V60"" car model",""
"passed","Sun Nov 08 21:50:45 IST 2020","Sun Nov 08 21:50:49 IST 2020","4008","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Momentum"" car style","When I select ""Momentum"" car style",""
